,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
29920,Germany,2020-02-04,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1098.08320699869,0.0,1.6506646287526598
29921,Germany,2020-02-05,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1246.0569135219,0.0,2.94662923772802
29922,Germany,2020-02-06,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1396.19462002607,0.9999999999999909,4.466703947335009
29923,Germany,2020-02-07,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1546.7589253596802,0.9999999999999929,6.293374705772459
29924,Germany,2020-02-08,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8081636222292,1697.98191804991,0.0,8.66410616887754
29925,Germany,2020-02-09,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35784198719009,1851.9502535777601,0.0,10.7310476452183
29926,Germany,2020-02-10,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85748178938762,2012.71676722963,0.0,13.2674780242085
29927,Germany,2020-02-11,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.30152866501512,2186.2751453135998,0.0,16.365240284631
29928,Germany,2020-02-12,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6838019986851505,2379.88356374344,2.00000000000001,20.1344918013797
29929,Germany,2020-02-13,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99743969226317,2600.58804462179,0.0,24.7092223980183
29930,Germany,2020-02-14,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2348146492572,2853.4375686748303,0.0,30.2549920692925
29931,Germany,2020-02-15,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.387454290798019,3140.3262733945003,0.0,36.979387273733295
29932,Germany,2020-02-16,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4459509969830195,3460.35708163552,0.0,45.145528726156705
29933,Germany,2020-02-17,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3998332227379704,3811.8350039240004,0.0,55.089653479113906
29934,Germany,2020-02-18,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30718302935184,4194.805911073599,0.0,67.2437098211901
29935,Germany,2020-02-19,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653523658042522,4612.3437405268,0.0,82.16473877992371
29936,Germany,2020-02-20,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18592823167208605,5069.45037026877,0.0,100.572533596052
29937,Germany,2020-02-21,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7931040420009821,5570.07875455792,0.0,123.39738186102
29938,Germany,2020-02-22,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.70524840227481,6114.10849793156,0.0,151.839355821358
29939,Germany,2020-02-23,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53434260761823,6696.13480545261,0.0,187.44126868030898
29940,Germany,2020-02-24,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2436930820501297,7306.73463070285,0.0,232.174543240089
29941,Germany,2020-02-25,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.74650477928158,7935.35761405631,2.0,288.53785393737803
29942,Germany,2020-02-26,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.17858123394153,8573.14951057323,3.0,359.662479238296
29943,Germany,2020-02-27,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.01013371362607,9214.495915628879,5.0,449.417692675969
29944,Germany,2020-02-28,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51774575668546,9857.291820401078,27.0,562.502700533755
29945,Germany,2020-02-29,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.81251887310088,10502.8775045621,13.0,704.506301613045
29946,Germany,2020-03-01,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0501763963055804,11156.4214114083,51.0,881.9135258440691
29947,Germany,2020-03-02,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13765438864236,11827.607339700002,33.0,1102.03065677384
29948,Germany,2020-03-03,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.643561690489048,12530.5654176029,38.0,1372.79580700133
29949,Germany,2020-03-04,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.323908089347777,13282.054047829499,75.9999999999999,1702.4665118147302
29950,Germany,2020-03-05,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.129013073064125,14098.154469892099,138.0,2099.1841025201397
29951,Germany,2020-03-06,81,3.69422406204906,2.0,2.0,3.69422406204906,2.0,0.0,0.0,0.0,0.0,-0.0149352975101387,14991.6200795077,239.0,2570.42223592987
29952,Germany,2020-03-07,81,7.4184208874458895,4.0,4.0,3.72419682539683,2.0,0.0,0.0,0.0,0.0,-0.3741301597321379,15972.976092641698,155.0,3122.37736671201
29953,Germany,2020-03-08,81,11.281539058164102,6.0,6.0,3.86311817071817,2.0,0.0,0.0,0.0,0.0,-0.9180972753280009,17057.0602296449,107.0,3759.32066055317
29954,Germany,2020-03-09,81,16.9849166000666,9.03998743756244,9.00579322621823,5.703377541902539,3.03998743756244,0.0,0.0,2.0,2.0,-3.2111427164913193,18272.7632026949,237.0,4482.95880384326
29955,Germany,2020-03-10,81,22.585169874569896,12.0796726578977,12.011511971362,5.600253274503269,3.0396852203352203,0.0,0.0,0.0,2.0,-2.5459254161346903,19669.6107642358,156.0,5291.90434193339
29956,Germany,2020-03-11,81,30.1570657703408,16.123518989344,16.017332975358,7.571895895770901,4.04384633144633,0.0,0.0,1.0,3.0,-2.47654548386538,21314.373396416202,272.0,6181.353180943821
29957,Germany,2020-03-12,81,37.535267982018,19.189534609834602,19.0239704434454,9.37820221167721,5.06601562049062,0.0,0.0,2.0,5.0,-4.2540037984494194,23275.1584454256,802.0,7142.958426319829
29958,Germany,2020-03-13,81,45.000064116439106,23.248313480963503,23.030285256410302,11.1190327589078,6.058778871128871,0.0,0.0,0.0,5.0,-6.65430696644813,25596.849599088502,693.0,8164.954697192371
29959,Germany,2020-03-14,81,54.4207249417249,28.3267401820402,28.0395781246531,13.1051724303474,7.078426701076701,0.0,0.0,3.0,8.0,-9.92745926611433,28276.0138139695,729.000000000001,9232.52110915855
29960,Germany,2020-03-15,81,70.30163017815521,36.42633625541129,36.0519859224109,20.7001770757021,11.099596073371101,0.0,0.0,3.0,11.0,-14.056355125128698,31244.897564783798,1018.0,10328.3790135933
29961,Germany,2020-03-16,81,87.0683625957376,45.546217957043,45.066625696525705,22.4040943389943,12.119881701631698,0.0,0.0,0.0,11.0,-21.678268905952603,34372.1291316648,1173.0,11433.5299280137
29962,Germany,2020-03-17,81,114.25284187593901,59.698510531135504,59.085877278277295,33.725953683575604,18.152292574092602,0.0,0.0,1.0,12.0,-27.1938799927123,37483.2646627175,1171.0,12528.0300633536
29963,Germany,2020-03-18,81,147.146272389281,76.9170136224886,76.11669196359199,41.3868997080362,22.218503091353103,0.0,0.0,0.0,12.0,-33.156933852259606,40397.213773334304,1043.0,13591.792993593
29964,Germany,2020-03-19,81,189.499857875497,99.16384880119878,98.1509447052947,52.632191624521894,28.2468351787102,0.0,0.0,8.0,20.0,-38.946116568616,42968.3996588948,2797.0,14605.411290976
29965,Germany,2020-03-20,81,241.282868422938,126.51981746750799,125.19982380188999,63.782161604717906,34.3559686663096,0.0,0.0,11.0,31.0,-44.397685115685604,45119.9208836257,2957.0,15550.898063954899
29966,Germany,2020-03-21,81,301.795805578451,156.956999308943,155.253054272074,77.4658170117679,41.437181841434295,0.0,0.0,16.0,47.0,-48.84659642484671,46854.42226497571,2694.0,16412.3566819116
29967,Germany,2020-03-22,81,372.050500421968,194.508888288535,192.33152391709203,91.7363688278655,49.591876417154396,0.0,0.0,8.0,55.0,-52.7718707276579,48237.99104172151,1957.0,17176.4923862665
29968,Germany,2020-03-23,81,456.64743116908,237.204835132368,234.42705036439702,112.754189907397,60.7356320641691,0.0,0.0,31.0,86.0,-57.92555646646629,49366.361660253606,4065.0,17832.9659314045
29969,Germany,2020-03-24,81,553.956890954174,288.007740514353,284.539844106697,134.67944480236,72.84675171343099,0.0,0.0,28.0,114.0,-60.18332612248779,50330.7399651588,4750.0,18374.5508060442
29970,Germany,2020-03-25,81,658.959811705176,341.917275442789,337.66428718899397,151.951638617604,81.97555054892649,0.0,0.0,35.0,149.0,-61.218697728653495,51197.505491450094,4116.0,18797.0920878991
29971,Germany,2020-03-26,81,777.142919911564,403.12057477568396,397.823958009912,176.263410851318,95.2620782040242,0.0,0.0,49.0,198.0,-59.9357704393171,52004.7035801484,4940.0,19099.3576370937
29972,Germany,2020-03-27,81,905.544861998163,469.508897610336,463.017421739973,198.488156847483,107.465749535728,0.0,0.0,55.0,253.0,-59.2193924339101,52768.7724093483,5786.0,19282.7856623929
29973,Germany,2020-03-28,81,1043.3117642845698,541.059791064805,533.2211103025589,222.43081391619202,120.65048952783998,0.0,0.0,72.0,325.0,-56.4526762160855,53492.1815812921,6277.0,19351.169855211203
29974,Germany,2020-03-29,81,1190.68047795865,615.838076850974,606.45430588597,249.195547573505,134.899167487801,0.0,0.0,64.0,389.0,-55.4450453676365,54166.6779434734,3966.0,19310.3532579432
29975,Germany,2020-03-30,81,1342.02930794601,692.841255096499,681.722041378187,274.898720561868,149.155470819617,0.0,0.0,66.0,455.0,-54.580557176453,54772.825072790496,4746.0,19167.9418471588
29976,Germany,2020-03-31,81,1498.29568775139,773.017772248701,760.017420272735,298.55850177308497,161.394020243555,0.0,0.0,128.0,583.0,-53.6552197348006,55280.56774719401,4604.0,18932.9173199514
29977,Germany,2020-04-01,81,1656.5545353800599,852.446540485516,837.335758263761,321.660592791806,173.675603415526,0.0,0.0,149.0,732.0,-52.5222555709301,55654.9961723137,5444.0,18615.2969407213
29978,Germany,2020-04-02,81,1815.13887735858,933.10487450211,915.6725593748531,345.069467043668,187.015302682904,0.0,0.0,140.0,872.0,-51.682817594518795,55867.2769018628,6143.0,18225.740215821203
29979,Germany,2020-04-03,81,1967.17489118886,1009.9081253913499,990.045116364196,361.520992432232,196.241432730672,0.0,0.0,145.0,1017.0,-50.9891690373763,55905.685879841905,6164.00000000001,17775.162271786598
29980,Germany,2020-04-04,81,2108.89622337104,1080.8553960558502,1058.44886227803,375.975628946174,204.53914708165902,0.0,0.0,141.0,1158.0,-50.5040079500031,55780.1893260725,6071.99999999999,17274.382788515
29981,Germany,2020-04-05,81,2236.37271469595,1143.85066546522,1118.85865711024,388.24327066159697,210.730901473535,0.0,0.0,184.0,1342.0,-50.286919814875496,55517.502508189005,5926.0,16733.8559869661
29982,Germany,2020-04-06,81,2365.77657183587,1207.9368719405802,1180.26308597511,413.641243685202,223.931958188793,0.0,0.0,92.0,1434.0,-50.3900846121365,55149.7746618871,3669.9999999999895,16163.3871579389
29983,Germany,2020-04-07,81,2473.57215363732,1261.02408425074,1230.69128932795,415.550832685289,225.06276285908402,0.0,0.0,173.0,1607.0,-50.8327251303788,54703.7331419663,3826.0000000000105,15571.9634146093
29984,Germany,2020-04-08,81,2561.43342260047,1303.97886959795,1271.0799398869901,419.575591090454,228.216863551232,0.0,0.0,254.0,1861.0,-51.57374960449489,54195.932757171395,3998.9999999999895,14967.656254003301
29985,Germany,2020-04-09,81,2638.82259442056,1342.00742841606,1306.50063651765,428.462369454393,232.49330835384498,0.0,0.0,246.0,2107.0,-52.506493280298,53635.177732977005,4968.0,14357.5523145967
29986,Germany,2020-04-10,81,2701.53702730173,1372.9416631203399,1334.9069209568902,429.14921883803805,233.584724232119,0.0,0.0,266.0,2373.0,-53.47543495024071,53029.2462359183,5320.00000000003,13747.6791482791
29987,Germany,2020-04-11,81,2749.68529969242,1396.64698830615,1356.26248753509,427.038689026707,232.60449267361,0.0,0.0,171.0,2544.0,-54.2891469325725,52391.8947316178,4122.0,13143.0485554328
29988,Germany,2020-04-12,81,2775.7685163466804,1405.1283442974302,1362.60364065943,424.371701968654,230.634826810896,0.0,0.0,129.0,2673.0,-54.7615311346778,51747.250976462696,2816.9999999999895,12547.713049856498
29989,Germany,2020-04-13,81,2783.64114655912,1410.36461799736,1365.8938588782198,419.487315079524,228.632293943488,0.0,0.0,126.0,2799.0,-54.783960411417894,51130.2477636099,2533.00000000001,11964.8561188031
29990,Germany,2020-04-14,81,2780.2130945931704,1408.35234876444,1362.17684931436,412.188546015062,224.66533418260897,0.0,0.0,170.0,2969.0,-54.3003175526829,50582.6184946793,2076.99999999999,11396.920160932801
29991,Germany,2020-04-15,81,2761.3377676665505,1395.98132293679,1348.41165458619,401.99293897802,218.644276855253,0.0,0.0,285.0,3254.0,-53.316667735774004,50144.93452720861,2483.00000000001,10845.7327161833
29992,Germany,2020-04-16,81,2726.1771172936396,1377.29671742042,1328.60050402723,391.822363090208,213.556827214302,0.0,0.0,314.0,3568.0,-51.939089921775704,49846.6000485515,2860.9999999999895,10312.6118020624
29993,Germany,2020-04-17,81,2682.51406478999,1354.1950033433802,1304.7342496744802,382.24889263445505,208.43643300461997,0.0,0.0,299.0,3867.0,-50.30823456879621,49697.296470667,3373.99999999997,9798.45590192828
29994,Germany,2020-04-18,81,2630.7081765549397,1326.82141796285,1276.79502389312,371.24707002457,202.35831609300098,0.0,0.0,242.0,4109.0,-48.560783818108796,49683.256646924805,3604.00000000003,9303.83173202881
29995,Germany,2020-04-19,81,2565.47638141787,1292.08120669833,1241.83479625188,355.51193265923996,193.19374692427,0.0,0.0,184.0,4293.0,-46.8322610872571,49769.9169267545,2452.00000000003,8829.02840782737
29996,Germany,2020-04-20,81,2496.4873552494396,1256.09278969737,1205.80584183718,345.184894427459,188.07434585812402,0.0,0.0,110.0,4403.0,-43.643208751594,49909.688969605995,1771.9999999999698,8374.1198033362
29997,Germany,2020-04-21,81,2416.81938267352,1215.83628756166,1165.78910267806,325.62228751618596,177.96036141552398,0.0,0.0,194.0,4597.0,-42.2975521812096,50052.0737777904,1780.0,7939.03302669775
29998,Germany,2020-04-22,81,2337.60402297935,1175.21133752621,1125.67406657871,317.151164664382,172.870358318393,0.0,0.0,271.0,4868.0,-41.1030239794365,50153.3578653305,2230.99999999997,7523.58660235011
29999,Germany,2020-04-23,81,2253.02046392368,1131.38364101464,1082.5530351903599,301.975015299063,164.756027720547,0.0,0.0,225.0,5093.0,-40.3745115714948,50184.43083074,2348.00000000003,7127.532358229
30000,Germany,2020-04-24,81,2169.1468552266,1088.3253630124,1040.4038130493,292.362700938329,159.54721467138,0.0,0.0,227.0,5320.0,-39.9691852596842,50136.1223122776,2334.0,6750.565811058721
30001,Germany,2020-04-25,81,2084.4076747795802,1046.0768090393199,999.2362054914939,277.764391713262,151.385272837813,0.0,0.0,179.0,5499.0,-41.4791283617525,50021.892103283,2051.0,6392.33124445193
30002,Germany,2020-04-26,81,1988.80553240529,997.7232882830921,952.0558306829871,255.53074032040402,140.276773187257,0.0,0.0,139.0,5638.0,-41.671815504655704,49877.4643515526,1729.9999999999698,6052.42625099814
30003,Germany,2020-04-27,81,1901.2177385108498,955.229284997476,910.8504932651371,248.427797044588,136.171330896993,0.0,0.0,110.0,5748.0,-41.90736958721529,49756.8945265726,1017.00000000003,5730.408830416501
30004,Germany,2020-04-28,81,1819.08012899,911.6269728314211,868.644901203737,239.54095599756698,130.039964689198,0.0,0.0,163.0,5911.0,-42.506025271636794,49724.3918375388,1143.0,5425.78915124255
30005,Germany,2020-04-29,81,1736.20957715873,869.853274248842,828.396543459512,227.530166806199,123.781128631723,0.0,0.0,202.0,6113.0,-43.1248398368146,49842.168668052596,1302.99999999997,5138.038779616661
